Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Atalanta,25,38.0,16813,20966,80.2,337538,111390,6204,7232,85.8,7730,9016,85.7,2645,4112,64.3,38,43.6,+0.4,435,1376,464,93,1700
Benevento,41,38.0,14168,17812,79.5,279120,92879,5628,6423,87.6,6292,7265,86.6,2098,3659,57.3,23,27.6,-2.6,339,937,213,76,1040
Bologna,30,38.0,13639,17603,77.5,276451,100888,5351,6247,85.7,5734,6804,84.3,2324,3954,58.8,18,23.4,-1.4,239,964,247,60,1136
Cagliari,29,38.0,12167,16636,73.1,245407,93621,4898,5855,83.7,5025,6342,79.2,2035,3899,52.2,21,25.4,-2.4,267,989,278,101,1115
Chievo,25,38.0,12575,16824,74.7,255651,94911,4867,5752,84.6,5375,6544,82.1,2189,4056,54.0,20,22.1,+5.9,299,960,310,111,1226
Crotone,29,38.0,10311,14840,69.5,208395,86869,4019,5025,80.0,4464,5706,78.2,1656,3558,46.5,21,24.0,+2.0,256,884,234,74,1111
Fiorentina,27,38.0,15290,19375,78.9,300312,104764,5672,6639,85.4,7266,8405,86.4,2158,3796,56.8,32,37.1,-3.1,463,1200,350,96,1503
Genoa,33,38.0,13218,17522,75.4,263512,94545,5238,6195,84.6,5762,6935,83.1,2047,3869,52.9,18,31.8,-10.8,313,992,306,79,1264
Hellas Verona,32,38.0,11493,15515,74.1,233720,85245,4685,5591,83.8,4661,5722,81.5,1959,3679,53.2,19,20.9,-4.9,237,763,192,64,944
Inter,22,38.0,18750,22639,82.8,348644,115080,8128,9077,89.5,7957,9135,87.1,2405,3811,63.1,34,44.4,-2.4,448,1423,388,120,1488
Juventus,24,38.0,20058,23398,85.7,408358,115305,7245,8105,89.4,9361,10334,90.6,3262,4447,73.4,39,38.3,+23.7,410,1429,340,110,1466
Lazio,24,38.0,16308,20211,80.7,317283,110399,6506,7524,86.5,7166,8276,86.6,2376,3758,63.2,51,42.4,+22.6,438,1393,397,89,1643
Milan,23,38.0,17744,21543,82.4,350431,112992,6839,7723,88.6,8115,9226,88.0,2626,4110,63.9,28,36.3,-0.3,458,1456,380,114,1593
Napoli,23,38.0,24985,29004,86.1,425699,132297,12878,14051,91.7,9018,10227,88.2,2679,3945,67.9,45,48.5,+0.5,526,2095,465,85,2068
Roma,27,38.0,17296,21399,80.8,346453,119630,6494,7521,86.3,7857,9059,86.7,2769,4306,64.3,37,48.7,-4.7,492,1581,444,138,1812
Sampdoria,27,38.0,16148,20144,80.2,300242,103556,6985,7924,88.1,6817,7916,86.1,2062,3673,56.1,33,32.8,+0.2,317,1183,345,67,1496
Sassuolo,28,38.0,11497,15749,73.0,237238,92359,4326,5256,82.3,4939,6124,80.6,2049,3852,53.2,16,29.2,-13.2,360,1039,258,92,1242
SPAL,29,38.0,12214,16025,76.2,244256,85676,4790,5578,85.9,5274,6290,83.8,1957,3620,54.1,14,20.1,-1.1,248,852,216,65,1051
Torino,27,38.0,14425,18316,78.8,285051,97128,5647,6531,86.5,6306,7434,84.8,2235,3723,60.0,36,34.8,+5.2,341,971,307,75,1214
Udinese,27,38.0,12619,16647,75.8,257575,94228,4682,5536,84.6,5694,6838,83.3,2113,3824,55.3,27,29.8,-0.8,333,927,265,79,1193
