Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arminia,26,34.0,14524,12864,1660,494,14,2462,504,290,117,57,37,3,8583,1873,4068,3808,8238,822,716,202,10706,45,321,301,398
Augsburg,25,34.0,14074,12382,1692,501,25,2553,417,313,121,65,37,5,8272,2215,3587,3452,8495,714,686,291,10430,62,317,363,475
Bayern Munich,29,34.0,21940,20228,1712,476,47,2604,653,566,237,104,80,12,15920,2688,3332,7564,12357,670,727,285,18505,64,258,449,469
Dortmund,26,34.0,22343,20783,1560,400,59,2769,622,400,173,67,71,2,17093,2421,2829,6541,13943,596,674,272,18983,58,298,474,452
Eint Frankfurt,25,34.0,18416,16687,1729,443,32,2859,420,510,206,65,75,18,12384,2329,3703,5767,10319,799,716,266,14409,61,293,432,478
Freiburg,24,34.0,15907,14247,1660,434,19,2423,487,444,123,54,42,8,9928,2401,3578,4947,8780,724,720,245,12336,47,276,302,454
Hertha BSC,32,34.0,16027,14278,1749,465,20,2149,553,396,152,47,61,14,10533,2146,3348,4795,9202,641,754,237,12623,74,286,330,435
Hoffenheim,30,34.0,18016,16289,1727,516,24,2611,533,440,156,52,58,5,12113,2447,3456,3224,12666,729,743,276,14462,41,309,376,496
Köln,28,34.0,15705,13976,1729,497,16,2392,449,428,135,57,49,7,9720,2374,3611,5340,8216,716,752,217,12038,53,314,359,475
Leverkusen,30,34.0,21523,19893,1630,414,32,3004,581,427,183,60,70,9,15610,2625,3288,6603,12962,608,728,322,18002,60,246,412,467
M'Gladbach,23,34.0,18808,17129,1679,481,39,2615,466,336,175,51,90,19,13334,2332,3142,4369,12600,569,676,229,15337,72,221,423,453
Mainz 05,31,34.0,13642,11914,1728,428,23,2156,358,378,130,55,54,8,7907,2135,3600,3574,7807,671,805,305,9679,48,255,342,491
RB Leipzig,25,34.0,21371,19712,1659,476,55,3163,408,427,184,67,77,14,15152,2692,3527,4647,14376,765,761,319,17673,72,278,472,477
Schalke 04,42,34.0,14667,12920,1747,490,23,2127,393,245,124,34,73,10,9457,2124,3086,4241,8520,547,712,249,11269,62,288,364,433
Stuttgart,29,34.0,17721,15993,1728,475,24,2608,432,382,155,46,65,26,12640,2087,2994,6187,9559,565,720,300,14259,49,266,434,492
Union Berlin,27,34.0,15867,14264,1603,425,22,2380,437,391,141,57,68,9,9677,2390,3800,4421,9095,857,725,247,12041,75,361,356,450
Werder Bremen,27,34.0,15388,13650,1738,544,13,2279,449,315,116,32,59,10,9519,2182,3687,4287,8931,717,707,269,11769,57,278,392,412
Wolfsburg,26,34.0,17140,15477,1663,433,25,2528,529,428,176,84,59,1,11039,2458,3643,7450,7428,808,763,255,13255,67,308,402,495
