Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Alavés,26,38.0,13919,11967,1952,585,13,2116,433,507,145,27,25,5,7233,2154,4532,4582,6759,1034,805,182,9814,48,388,253,417
Athletic Club,27,38.0,17393,15493,1900,567,29,2768,554,524,154,10,19,4,10169,2749,4475,3923,10806,1071,833,208,13267,68,406,287,452
Atlético Madrid,29,38.0,19034,17293,1741,453,58,3353,443,396,215,16,24,11,12563,2625,3846,6140,10582,931,716,206,15143,69,283,370,463
Barcelona,30,38.0,26734,25016,1718,568,117,4148,583,380,202,35,23,4,21255,2663,2816,9059,15803,682,652,327,23464,93,233,465,477
Betis,25,38.0,22819,21007,1812,616,60,3395,593,452,187,19,27,6,17055,2630,3134,9068,11943,642,645,292,19506,66,290,362,440
Celta Vigo,28,38.0,18785,16952,1833,544,29,2808,526,447,159,22,15,6,12575,2528,3682,5231,11384,882,686,232,15122,81,327,306,394
Eibar,25,38.0,18279,16170,2109,531,29,2883,754,677,224,8,43,6,9543,2868,5868,4383,10542,1387,1033,252,13129,85,440,316,570
Espanyol,25,38.0,17703,15818,1885,564,51,2816,509,385,175,15,25,5,11494,2527,3682,6163,9410,827,730,209,13998,73,321,273,489
Getafe,26,38.0,12926,10821,2105,609,17,2141,574,459,157,8,28,7,5442,2520,4964,2836,7100,1157,988,130,8284,94,424,292,512
Girona,26,38.0,17104,15230,1874,576,29,2578,628,524,134,18,26,3,10487,2564,4053,4776,10015,868,754,286,13258,53,402,325,390
Huesca,30,38.0,14817,12898,1919,534,21,2097,525,541,172,18,17,4,8188,2332,4297,3363,9106,934,805,149,10778,84,335,289,406
Leganés,29,38.0,15033,13198,1835,454,20,2541,555,538,142,18,24,5,8037,2530,4466,4926,7296,1153,859,198,10787,69,440,269,405
Levante,26,38.0,14737,12796,1941,527,32,2174,508,427,201,45,21,4,8716,2555,3466,4014,8826,678,720,227,10953,77,396,302,460
Rayo Vallecano,29,38.0,16257,14326,1931,568,17,2462,598,507,184,24,34,5,10352,2338,3567,4149,9969,785,783,267,12606,58,393,246,436
Real Madrid,27,38.0,24065,22187,1878,600,74,3518,894,603,218,12,24,16,17763,2921,3381,6319,15830,647,735,318,20684,95,281,306,523
Real Sociedad,30,38.0,18446,16468,1978,595,38,3013,587,402,177,26,24,4,12261,2518,3667,5958,10199,842,841,207,14700,80,333,269,473
Sevilla,27,38.0,18654,16747,1907,552,40,3478,630,587,221,34,25,12,11896,2848,3910,5399,10967,924,756,276,14612,95,351,329,537
Valencia,25,38.0,17600,15759,1841,562,44,2542,613,501,195,14,23,8,11563,2612,3425,4382,11057,837,713,268,13821,64,341,341,467
Valladolid,28,38.0,16196,14261,1935,569,12,2391,596,501,200,23,26,10,9738,2400,4058,4022,10020,805,731,255,12161,84,368,251,479
Villarreal,26,38.0,17509,15718,1791,491,41,2523,560,433,167,22,30,5,11397,2454,3658,5782,9590,809,746,217,13853,91,310,323,455
