Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Amiens,27,28.0,12663,11208,1455,351,20,2230,353,297,107,46,30,6,7759,1988,2916,3950,6993,522,667,169,9777,31,263,216,336
Angers,26,28.0,13346,11917,1429,357,25,2066,378,355,146,39,83,15,8445,2088,2813,4679,7075,473,643,185,10616,24,224,241,337
Bordeaux,26,28.0,14986,13606,1380,393,22,2851,364,234,137,60,44,23,10567,1787,2632,3217,10278,488,543,161,12356,35,241,221,295
Brest,24,28.0,13961,12482,1479,339,23,2409,499,374,115,56,30,5,8729,2323,2909,3434,8819,483,719,221,11090,29,275,226,340
Dijon,28,28.0,12909,11465,1444,384,20,2235,397,277,121,34,54,16,8107,1933,2869,3543,7651,459,623,252,10186,28,239,225,313
Lille,25,28.0,14068,12613,1455,388,25,2324,375,321,154,62,62,8,9374,2055,2639,4468,7926,506,658,211,11307,55,266,199,356
Lyon,27,28.0,15881,14547,1334,355,26,2647,492,356,129,66,28,3,11066,2243,2572,3736,10538,481,603,227,13379,22,220,224,318
Marseille,23,28.0,14652,13251,1401,384,31,2289,396,340,151,42,67,24,9813,2262,2577,3112,9882,490,651,211,12013,20,228,213,338
Metz,24,28.0,12397,11061,1336,363,18,2173,319,303,117,47,44,13,7874,1680,2843,2580,8235,445,574,197,9635,29,259,203,296
Monaco,28,28.0,14370,13005,1365,409,45,2362,407,345,132,37,69,6,9597,2237,2536,4040,8895,422,542,222,11748,40,223,233,339
Montpellier,27,28.0,12594,11160,1434,418,20,2156,513,391,129,66,44,11,7048,2273,3273,2874,7931,530,594,291,9682,35,285,223,360
Nantes,29,28.0,13416,11976,1440,386,21,2329,343,280,150,61,57,12,8787,1856,2773,4560,7101,591,647,204,10599,40,256,251,312
Nice,31,28.0,15539,14198,1341,396,29,2110,409,260,131,45,51,11,11824,1867,1848,5288,9104,274,522,195,13378,20,257,241,279
Nîmes,28,28.0,11140,9521,1619,458,22,1765,403,322,143,47,71,15,6018,2027,3095,3813,5466,580,730,149,8170,34,242,168,347
Paris S-G,31,27.0,18987,17764,1223,316,73,2781,358,414,181,83,42,10,14842,2358,1787,6531,11306,316,508,182,16845,49,186,275,319
Reims,26,28.0,13063,11595,1468,416,30,2315,468,344,142,30,76,15,8337,2132,2594,4867,6645,433,651,198,10361,40,266,256,318
Rennes,26,28.0,13053,11646,1407,403,22,2284,433,295,124,53,44,15,8216,2010,2827,4346,7031,512,628,194,10454,36,218,215,324
Saint-Étienne,31,28.0,13003,11534,1469,371,17,2301,455,349,140,72,38,20,7961,2231,2811,3682,7594,537,675,148,10086,36,299,240,322
Strasbourg,25,27.0,12757,11432,1325,342,16,2372,566,380,128,44,57,7,7957,1994,2806,3514,7663,439,595,194,10203,28,239,190,304
Toulouse,30,28.0,12237,10820,1417,342,14,2211,278,346,123,38,63,15,7650,1947,2640,2696,8050,439,581,165,9433,27,237,229,290
