Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,28,38.0,22182,20241,1941,544,59,2994,592,471,210,44,70,11,16149,2777,3256,6528,13426,767,819,305,18328,77,323,584,533
Bournemouth,28,38.0,17508,15549,1959,513,25,2849,408,450,189,56,52,9,11459,2408,3641,5084,10020,813,829,284,13503,49,385,536,502
Brighton,21,38.0,15804,13982,1822,333,20,2480,740,424,156,77,45,6,8947,2493,4364,3668,9542,893,875,206,11619,85,409,404,424
Burnley,23,38.0,14590,12700,1890,400,28,2464,493,443,138,83,26,11,7174,2417,4999,4317,7420,1000,892,191,10129,97,428,344,404
Cardiff City,25,38.0,11663,9845,1818,432,18,2230,341,377,167,91,41,14,5268,1769,4626,2688,6339,888,794,112,7250,72,399,367,389
Chelsea,24,38.0,26529,24736,1793,466,56,3636,695,484,215,74,81,15,20090,3139,3300,4986,19501,657,760,318,22873,74,321,611,478
Crystal Palace,26,38.0,16702,14813,1889,442,32,2860,402,407,205,86,39,37,10690,2416,3596,5195,9322,610,806,250,12767,71,320,487,471
Everton,23,38.0,18119,16088,2031,501,28,2987,576,520,215,67,105,19,11410,2623,4086,4658,10825,872,942,231,13856,65,440,520,488
Fulham,28,38.0,19215,17401,1814,412,27,2939,460,375,161,49,55,18,12655,2417,4143,5976,10839,843,766,260,15178,84,372,480,416
Huddersfield,31,38.0,17539,15610,1929,443,22,3092,482,509,162,64,58,18,10484,2526,4529,4587,10219,897,931,167,13055,59,405,484,524
Leicester City,25,38.0,19024,17082,1942,458,39,3082,673,500,212,64,80,19,12109,2630,4285,4086,12374,901,869,221,14799,66,419,536,490
Liverpool,23,38.0,25299,23397,1902,460,67,3253,808,512,247,75,86,10,18046,3027,4226,6290,16512,867,919,283,21154,72,374,604,510
Manchester City,21,38.0,28159,26530,1629,342,81,3427,689,605,297,64,115,23,22241,2755,3163,11604,14434,730,740,296,24660,85,319,462,481
Manchester Utd,28,38.0,20713,18796,1917,435,55,3008,630,455,200,69,67,27,14177,2615,3921,5964,12388,714,856,233,16840,80,305,527,451
Newcastle Utd,24,38.0,15073,13262,1811,392,24,2573,583,434,181,64,65,13,8311,2178,4584,4084,8519,876,830,233,10827,51,336,365,459
Southampton,30,38.0,15938,14145,1793,409,39,2495,493,407,193,90,61,20,9452,2288,4198,3373,10078,946,800,184,11609,49,411,410,469
Tottenham,28,38.0,22736,20864,1872,462,35,3037,615,467,194,54,73,8,16112,2688,3936,6266,14125,811,853,267,18757,66,319,497,524
Watford,25,38.0,16917,15092,1825,488,28,2797,503,425,176,72,56,2,10093,2610,4214,4587,9893,867,756,217,12723,78,290,514,452
West Ham,26,38.0,17950,16037,1913,507,38,2848,568,439,187,70,80,5,11490,2637,3823,5236,10478,691,820,250,13960,67,347,462,503
Wolves,21,38.0,18117,16339,1778,366,25,3072,729,464,194,48,75,9,11021,2808,4288,3469,12124,931,842,202,14105,66,390,473,436
