Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atalanta,30,38.0,21836,20178,1658,510,36,2969,513,432,201,84,79,24,15957,2693,3186,7704,12059,696,687,231,18159,50,271,503,491
Benevento,29,38.0,15299,13378,1921,688,32,2106,423,409,169,52,86,10,9726,1912,3661,4919,8396,695,656,260,11710,56,272,313,384
Bologna,37,38.0,18456,16618,1838,538,40,2190,487,414,201,115,47,14,12476,2488,3492,3987,12286,768,694,283,14811,64,276,411,468
Cagliari,32,38.0,16795,14893,1902,569,14,2177,391,496,170,47,82,15,10770,2276,3749,4057,10652,595,754,275,13161,54,296,377,421
Crotone,31,38.0,17169,15354,1815,599,11,2593,382,370,138,66,20,9,11621,2086,3462,4757,10565,612,619,246,13666,46,295,366,396
Fiorentina,30,38.0,17076,15156,1920,617,18,2137,591,469,168,30,101,18,11277,2230,3569,4228,10831,585,746,268,13589,54,255,302,456
Genoa,34,38.0,17793,16012,1781,523,24,2338,516,350,129,43,59,3,11691,2291,3811,4242,11480,721,703,249,14015,73,269,334,437
Hellas Verona,32,38.0,17708,15831,1877,586,20,2657,389,459,185,65,90,16,10736,2747,4225,6106,9236,847,720,192,13339,100,360,424,508
Inter,25,38.0,21593,19987,1606,453,31,2915,568,481,206,61,79,12,15977,2746,2870,5262,14525,572,649,262,18514,54,203,450,442
Juventus,30,38.0,23047,21409,1638,494,41,2696,580,517,221,50,112,14,17623,2531,2893,7539,13843,519,580,285,19971,73,240,441,412
Lazio,30,38.0,20724,19083,1641,470,41,2707,586,466,189,97,51,14,14313,2802,3609,5751,12897,713,651,304,17098,79,270,413,417
Milan,29,38.0,19490,17804,1686,493,39,2312,527,430,213,101,68,10,14098,2135,3257,5759,11857,599,648,235,16046,83,261,409,408
Napoli,25,38.0,22092,20254,1838,620,37,2723,668,470,220,76,59,15,16485,2636,2971,6913,13547,439,696,245,18947,67,240,454,426
Parma,42,38.0,18327,16553,1774,545,27,2222,619,407,154,41,62,19,12152,2400,3775,5187,11122,607,653,289,14930,73,249,347,423
Roma,31,38.0,20471,18797,1674,558,46,2487,547,437,219,82,105,7,15026,2436,3009,3446,15343,496,577,293,17066,50,214,437,452
Sampdoria,27,38.0,17627,15712,1915,603,20,2506,562,505,197,71,74,18,10884,2637,4106,5639,9797,678,757,279,13561,53,273,397,488
Sassuolo,28,38.0,23671,21973,1698,552,32,2846,428,403,208,67,73,24,18739,2254,2678,7695,14424,438,571,254,20547,50,230,409,449
Spezia,35,38.0,19428,17545,1883,676,29,2802,708,413,150,16,83,8,12842,2647,3939,5847,11540,646,745,279,15637,73,347,415,431
Torino,29,38.0,17077,15169,1908,663,21,2333,666,489,170,38,102,8,11129,2089,3859,4671,10526,594,661,232,13471,51,272,315,407
Udinese,33,38.0,17469,15704,1765,582,19,2337,450,468,163,48,75,9,12039,2330,3100,4195,11499,496,653,275,14149,71,246,413,429
