Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arminia,26,26.0,34,3060,90,100,34.0,374,83,227,147,17,157,1.03,26,52,-26,-0.76,30.7,55.7,-25.0,-0.73
Augsburg,25,27.0,34,3060,90,100,34.0,374,82,231,141,21,159,1.06,36,54,-18,-0.53,36.1,55.6,-19.4,-0.57
Bayern Munich,29,27.3,34,3060,90,100,34.0,374,82,237,137,21,163,2.29,99,44,+55,+1.62,75.8,41.0,+34.8,+1.02
Dortmund,26,25.6,34,3060,90,100,34.0,374,83,234,139,19,163,1.88,75,46,+29,+0.85,68.6,40.4,+28.3,+0.83
Eint Frankfurt,25,27.2,34,3060,90,100,34.0,374,84,238,136,18,165,1.76,69,53,+16,+0.47,56.1,48.4,+7.7,+0.23
Freiburg,24,26.2,34,3060,90,100,34.0,374,82,223,152,19,151,1.32,52,52,0,0.00,46.2,53.7,-7.5,-0.22
Hertha BSC,32,25.4,34,3060,90,100,34.0,374,81,227,149,22,157,1.03,41,52,-11,-0.32,42.4,47.0,-4.6,-0.13
Hoffenheim,30,25.7,34,3060,90,100,34.0,374,83,241,130,21,166,1.26,52,54,-2,-0.06,51.8,53.3,-1.6,-0.05
Köln,28,24.9,36,3060,85,100,34.0,374,82,225,148,20,157,0.97,34,60,-26,-0.76,39.1,55.3,-16.2,-0.48
Leverkusen,30,25.4,34,3060,90,100,34.0,374,83,253,123,23,174,1.53,53,39,+14,+0.41,47.2,40.4,+6.8,+0.20
M'Gladbach,23,26.9,34,3060,90,100,34.0,374,83,230,142,18,159,1.44,64,56,+8,+0.24,55.2,44.7,+10.6,+0.31
Mainz 05,31,25.8,34,3060,90,100,34.0,374,83,223,150,18,152,1.15,39,56,-17,-0.50,47.1,50.9,-3.8,-0.11
RB Leipzig,25,25.0,34,3060,90,100,34.0,374,81,222,154,22,143,1.91,60,32,+28,+0.82,65.3,29.1,+36.2,+1.07
Schalke 04,42,25.9,34,3060,90,100,34.0,374,83,257,117,23,181,0.47,25,86,-61,-1.79,27.0,68.0,-41.0,-1.21
Stuttgart,29,24.1,34,3060,90,100,34.0,374,81,217,156,21,150,1.32,56,55,+1,+0.03,53.2,53.3,-0.1,0.00
Union Berlin,27,27.3,34,3060,90,100,34.0,374,82,227,146,19,150,1.47,50,43,+7,+0.21,45.8,41.3,+4.5,+0.13
Werder Bremen,27,26.3,34,3060,90,100,34.0,374,82,231,144,20,162,0.91,36,57,-21,-0.62,33.8,51.0,-17.2,-0.50
Wolfsburg,26,25.6,34,3060,90,100,34.0,374,85,243,128,15,173,1.79,61,37,+24,+0.71,49.5,42.0,+7.4,+0.22
