Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Amiens,27,27.4,28,2520,90,100,28.0,308,84,,83,19,113,0.82,31,50,-19,-0.68,26.7,35.4,-8.7,-0.31
Angers,26,28.0,28,2520,90,100,28.0,308,84,,80,23,116,1.39,28,33,-5,-0.18,27.0,28.7,-1.6,-0.06
Bordeaux,26,26.9,28,2520,90,100,28.0,308,84,,84,20,111,1.32,40,34,+6,+0.21,29.7,33.3,-3.5,-0.13
Brest,24,26.1,28,2520,90,100,28.0,308,85,,82,18,114,1.21,34,37,-3,-0.11,30.2,40.5,-10.3,-0.37
Dijon,28,26.9,28,2520,90,100,28.0,308,83,,82,25,114,1.07,27,37,-10,-0.36,28.9,43.1,-14.2,-0.51
Lille,25,24.3,28,2520,90,100,28.0,308,85,,80,17,116,1.75,35,27,+8,+0.29,39.7,29.8,+10.0,+0.36
Lyon,27,24.8,28,2520,90,100,28.0,308,84,,81,21,115,1.43,42,27,+15,+0.54,37.2,26.0,+11.2,+0.40
Marseille,23,27.1,28,2520,90,100,28.0,308,86,,82,15,114,2.00,41,29,+12,+0.43,34.7,30.5,+4.2,+0.15
Metz,24,25.9,28,2520,90,100,28.0,308,85,,77,18,119,1.21,27,35,-8,-0.29,27.3,34.2,-6.9,-0.25
Monaco,28,26.0,28,2520,90,100,28.0,308,85,,76,16,117,1.43,44,44,0,0.00,48.0,39.9,+8.0,+0.29
Montpellier,27,28.5,28,2520,90,100,28.0,308,86,,74,16,121,1.43,35,34,+1,+0.04,32.0,34.1,-2.2,-0.08
Nantes,29,25.4,28,2520,90,100,28.0,308,86,,71,17,124,1.32,28,31,-3,-0.11,27.8,33.6,-5.8,-0.21
Nice,31,23.9,28,2520,90,100,28.0,308,84,,82,18,114,1.46,41,38,+3,+0.11,35.2,41.7,-6.5,-0.23
Nîmes,28,25.4,28,2520,90,100,28.0,308,85,,80,15,116,0.96,29,44,-15,-0.54,29.6,44.0,-14.3,-0.51
Paris S-G,31,27.2,27,2430,90,100,27.0,297,84,,79,23,110,2.52,75,24,+51,+1.89,70.9,22.8,+48.1,+1.78
Reims,26,25.3,28,2520,90,100,28.0,308,85,,81,18,115,1.46,26,21,+5,+0.18,28.4,26.3,+2.1,+0.07
Rennes,26,25.5,28,2520,90,100,28.0,308,85,,83,17,111,1.79,38,24,+14,+0.50,36.3,29.4,+7.0,+0.25
Saint-Étienne,31,27.0,28,2520,90,100,28.0,308,84,,82,23,114,1.07,29,45,-16,-0.57,28.8,35.4,-6.6,-0.24
Strasbourg,25,25.8,27,2430,90,100,27.0,297,86,,80,15,109,1.41,32,32,0,0.00,34.9,30.8,+4.1,+0.15
Toulouse,30,25.1,28,2520,90,100,28.0,308,84,,82,20,113,0.46,22,58,-36,-1.29,30.1,44.2,-14.1,-0.50
