Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,30,27.2,38,3420,90,100,38.0,418,82,,134,23,268,2.05,98,48,+50,+1.32,81.8,41.4,+40.5,+1.07
Bologna,31,27.2,38,3420,90,100,38.0,418,83,,136,20,274,1.24,52,65,-13,-0.34,53.1,54.9,-1.8,-0.05
Brescia,32,25.6,38,3420,90,100,38.0,418,83,,121,23,235,0.66,35,79,-44,-1.16,42.4,77.6,-35.2,-0.93
Cagliari,33,27.4,38,3420,90,100,38.0,418,83,,129,21,298,1.18,52,56,-4,-0.11,41.4,57.2,-15.9,-0.42
Fiorentina,33,25.1,38,3420,90,100,38.0,418,83,,129,21,323,1.29,51,48,+3,+0.08,54.7,48.9,+5.8,+0.15
Genoa,34,26.8,38,3420,90,100,38.0,418,82,,135,23,305,1.03,47,73,-26,-0.68,47.4,59.2,-11.8,-0.31
Hellas Verona,30,26.1,38,3420,90,100,38.0,418,83,,128,22,320,1.29,47,51,-4,-0.11,49.2,52.5,-3.3,-0.09
Inter,29,27.7,38,3420,90,100,38.0,418,84,,134,18,298,2.16,81,36,+45,+1.18,72.3,40.6,+31.6,+0.83
Juventus,30,28.6,38,3420,90,100,38.0,418,82,,127,25,272,2.18,76,43,+33,+0.87,68.7,41.8,+26.9,+0.71
Lazio,27,27.9,38,3420,90,100,38.0,418,83,,137,22,307,2.05,79,42,+37,+0.97,68.4,49.5,+18.9,+0.50
Lecce,30,28.7,38,3420,90,100,38.0,418,82,,120,26,325,0.92,52,85,-33,-0.87,53.9,84.0,-30.1,-0.79
Milan,32,24.6,38,3420,90,100,38.0,418,82,,128,25,302,1.74,63,46,+17,+0.45,59.5,47.1,+12.4,+0.33
Napoli,25,26.9,38,3420,90,100,38.0,418,83,,135,21,277,1.63,61,50,+11,+0.29,62.4,39.4,+23.0,+0.60
Parma,25,28.8,38,3420,90,100,38.0,418,83,,136,22,244,1.29,56,57,-1,-0.03,46.6,62.1,-15.5,-0.41
Roma,31,26.9,38,3420,90,100,38.0,418,83,,131,21,272,1.84,77,51,+26,+0.68,72.6,48.3,+24.3,+0.64
Sampdoria,31,26.0,38,3420,90,100,38.0,418,82,,127,24,321,1.11,48,65,-17,-0.45,51.2,53.3,-2.2,-0.06
Sassuolo,31,26.4,38,3420,90,100,38.0,418,83,,138,21,306,1.34,69,63,+6,+0.16,56.0,63.8,-7.8,-0.21
SPAL,34,27.5,38,3420,90,100,38.0,418,83,,129,22,307,0.53,27,77,-50,-1.32,39.1,67.5,-28.3,-0.75
Torino,27,27.3,38,3420,90,100,38.0,418,84,,118,21,277,1.05,46,68,-22,-0.58,42.4,62.8,-20.4,-0.54
Udinese,25,26.5,38,3420,90,100,38.0,418,84,,124,19,299,1.18,37,51,-14,-0.37,40.6,51.7,-11.1,-0.29
