Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arminia,26,42.2,34.0,18531,2838,7992,7879,3723,576,16927,270,466,57.9,305,26,10490,52328,28305,802,282,74,382,386,13469,10706,79.5,837
Augsburg,25,41.3,34.0,18443,2706,7802,8144,3614,565,16794,326,560,58.2,349,18,10523,56513,29044,917,300,73,456,386,13347,10430,78.1,917
Bayern Munich,29,61.1,34.0,26026,2032,7020,12889,7855,1322,24380,480,733,65.5,512,34,17702,93890,50318,2187,603,198,542,441,21312,18505,86.8,1796
Dortmund,26,59.8,34.0,26221,2316,7835,13231,6970,1125,24710,459,746,61.5,489,37,18425,96143,51294,2093,615,202,419,374,21600,18983,87.9,1553
Eint Frankfurt,25,54.0,34.0,22459,2435,7177,11079,5621,864,20795,323,534,60.5,349,25,13534,72038,39272,1630,491,163,443,417,17451,14409,82.6,1448
Freiburg,24,47.0,34.0,19679,2621,7788,8639,4521,695,18052,263,462,56.9,285,14,11882,62484,33150,1003,335,107,394,332,14984,12336,82.3,1102
Hertha BSC,32,49.4,34.0,20185,2313,7746,9310,4456,738,18494,335,566,59.2,367,14,12614,71496,38339,1294,387,148,389,446,15260,12623,82.7,1080
Hoffenheim,30,51.1,34.0,22139,2471,7672,10388,5541,834,20466,346,600,57.7,377,25,14093,72987,39360,1428,440,116,512,420,17106,14462,84.5,1363
Köln,28,46.3,34.0,19811,2514,7840,8652,4456,589,18138,273,461,59.2,299,13,11369,58490,30243,1052,316,72,470,387,14808,12038,81.3,1007
Leverkusen,30,59.9,34.0,25589,2494,8179,13375,5846,845,24010,467,765,61.0,496,27,17737,89304,47518,1706,533,172,493,446,20664,18002,87.1,1388
M'Gladbach,23,51.9,34.0,22941,2481,8008,11396,4878,838,21323,319,501,63.7,334,14,14578,69604,39080,1492,403,164,433,404,17676,15337,86.8,1309
Mainz 05,31,40.5,34.0,17919,2312,6633,7902,4371,713,16233,288,483,59.6,314,18,9788,50994,27750,942,312,105,452,379,12574,9679,77.0,1010
RB Leipzig,25,60.0,34.0,25376,1989,6972,13158,6795,1062,23776,328,552,59.4,359,14,16865,82561,44289,1837,526,156,427,450,20574,17673,85.9,1636
Schalke 04,42,44.6,34.0,18946,2716,7904,8674,3543,557,17258,364,630,57.8,400,19,11265,58431,29902,1018,297,88,472,446,13843,11269,81.4,929
Stuttgart,29,51.5,34.0,22009,2702,7891,10504,5116,839,20332,454,731,62.1,493,29,14089,75635,41677,1578,493,147,519,486,16743,14259,85.2,1303
Union Berlin,27,44.9,34.0,19755,2263,7614,9103,4242,613,18189,200,358,55.9,219,17,11321,61208,31688,1069,365,100,458,365,14934,12041,80.6,1022
Werder Bremen,27,43.8,34.0,19641,2454,7550,9163,3974,568,17938,237,435,54.5,258,21,11312,55492,29399,1031,295,74,412,359,14513,11769,81.1,1014
Wolfsburg,26,51.4,34.0,21519,2255,7029,10544,5292,809,19912,282,462,61.0,314,19,12998,68367,36910,1380,452,117,450,429,16162,13255,82.0,1314
