Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Alavés,26,42.7,38.0,18585,2331,6410,8846,4315,672,16669,321,574,55.9,343,15,10284,50341,27461,1035,330,67,512,347,12658,9814,77.5,1344
Athletic Club,27,50.1,38.0,21741,2093,6468,10878,5660,776,19893,337,601,56.1,363,17,13600,65384,35058,1449,450,101,481,387,16241,13267,81.7,1526
Atlético Madrid,29,49.4,38.0,23298,2044,6545,11445,6717,901,21611,460,693,66.4,481,14,15815,75278,38583,1673,524,134,428,396,18114,15143,83.6,1590
Barcelona,30,64.2,38.0,30827,2378,7917,15807,9151,1197,29198,578,912,63.4,613,36,23446,107025,59067,2593,785,213,421,406,26137,23464,89.8,1889
Betis,25,61.7,38.0,26963,2579,8172,13566,7121,960,25218,495,793,62.4,538,34,20049,99573,54955,2220,712,197,479,437,21949,19506,88.9,1504
Celta Vigo,28,51.7,38.0,23086,2382,7384,11775,5318,753,21294,475,739,64.3,509,13,15669,73718,38175,1532,492,115,430,396,17753,15122,85.2,1336
Eibar,25,54.1,38.0,22712,1710,5109,11445,7419,1026,20625,432,686,63.0,466,37,13784,67250,32536,1482,479,115,522,411,16887,13129,77.7,1936
Espanyol,25,49.5,38.0,22149,2655,7812,10516,5234,805,20327,396,594,66.7,427,17,14656,73942,39561,1555,498,111,454,438,16689,13996,83.9,1559
Getafe,26,40.8,38.0,17424,1923,5116,8158,5009,767,15377,343,588,58.3,367,18,9375,46259,23569,983,342,95,514,426,11729,8284,70.6,1549
Girona,26,48.0,38.0,21532,2517,7904,10424,4554,710,19723,357,609,58.6,398,9,13869,67071,36770,1364,437,88,462,395,15959,13258,83.1,1469
Huesca,30,44.7,38.0,19382,2198,6336,9324,4890,802,17507,398,655,60.8,426,18,11809,62847,32716,1364,444,108,516,393,13690,10778,78.7,1368
Leganés,29,42.8,38.0,19246,2132,6238,9352,4707,707,17436,322,550,58.5,352,19,11092,54070,27050,1009,363,84,410,347,13854,10787,77.9,1340
Levante,26,45.6,38.0,19154,2351,6547,8919,4957,781,17245,456,761,59.9,490,21,11908,64376,35890,1487,423,138,413,490,13557,10953,80.8,1387
Rayo Vallecano,29,48.7,38.0,20898,2422,7382,9958,5013,697,19041,576,897,64.2,624,23,13907,73909,40651,1608,496,138,512,540,15259,12606,82.6,1318
Real Madrid,27,60.0,38.0,28248,2150,7697,14485,7812,1217,26458,493,772,63.9,518,25,21293,101549,53423,2400,656,259,406,423,23349,20684,88.6,1777
Real Sociedad,30,51.6,38.0,23020,2695,8139,11454,5109,741,21105,439,729,60.2,474,12,15410,83730,45766,1661,522,99,492,495,17599,14700,83.5,1500
Sevilla,27,52.2,38.0,22894,2255,7245,10841,6249,1084,21054,416,675,61.6,449,15,15304,77301,43696,1868,549,206,408,419,17574,14612,83.1,1744
Valencia,25,47.1,38.0,21921,2204,7012,10554,5707,936,20135,395,652,60.6,419,20,14262,76176,40927,1687,488,166,457,357,16683,13821,82.8,1699
Valladolid,28,47.0,38.0,20496,2388,7016,9784,4972,667,18606,357,539,66.2,379,15,13044,66908,36344,1501,450,122,470,376,15024,12161,80.9,1373
Villarreal,26,48.3,38.0,21874,2267,6921,10838,5494,923,20137,443,720,61.5,477,27,14280,71281,38680,1647,491,178,437,351,16685,13853,83.0,1608
