Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Angers,31,46.2,38.0,23291,2045,7459,11988,5299,654,21424,429,774,55.4,469,22,15042,71788,37242,1454,491,107,508,536,17933,15128,84.4,1262
Bordeaux,28,49.7,38.0,23804,2538,8314,12189,4746,652,21948,422,734,57.5,453,20,15697,79456,41766,1539,404,125,493,491,18641,16031,86.0,1025
Brest,26,49.3,38.0,23580,2902,8829,10744,5586,794,21702,396,636,62.3,417,24,15145,79202,44314,1486,505,120,472,373,18221,15584,85.5,1289
Dijon,33,46.2,38.0,22256,2722,8585,10902,4245,576,20399,433,693,62.5,462,19,13530,68648,36551,1297,367,82,512,520,17003,14134,83.1,1070
Lens,27,51.4,38.0,23406,2248,7274,12308,5418,755,21620,376,620,60.6,397,16,14685,84098,49511,1872,470,110,504,463,18072,15307,84.7,1452
Lille,21,53.9,38.0,26131,2083,7434,13846,6538,820,24406,391,671,58.3,417,29,17088,85177,46429,1973,534,149,473,506,20916,18028,86.2,1572
Lorient,27,44.6,38.0,21702,2127,7653,10925,4440,571,19863,314,544,57.7,343,14,13066,63705,35276,1329,412,98,549,482,16016,13405,83.7,1094
Lyon,29,54.9,38.0,25826,2292,7318,13057,7071,1193,24046,482,775,62.2,518,30,16970,86470,50014,2093,586,216,511,477,20543,17819,86.7,1775
Marseille,31,53.9,38.0,24777,2583,8236,12872,5137,709,22888,341,585,58.3,368,17,15585,76443,42510,1649,401,134,429,453,19689,16646,84.5,1231
Metz,27,45.3,38.0,21596,2305,7846,10639,4610,610,19876,436,724,60.2,468,23,13406,75863,41114,1544,527,110,533,527,15948,13269,83.2,1030
Monaco,30,56.0,38.0,26168,2231,7778,13634,6434,1030,24329,340,547,62.2,359,14,17144,89128,49961,1897,497,151,466,476,20995,17905,85.3,1589
Montpellier,25,45.3,38.0,20905,2434,7479,9743,5026,780,19032,315,580,54.3,343,30,12121,66958,36698,1368,410,111,487,427,15643,12879,82.3,1209
Nantes,25,43.7,38.0,21131,2050,6517,10489,5291,772,19243,409,742,55.1,451,22,12351,61352,33742,1415,401,153,459,497,15479,12440,80.4,1157
Nice,31,54.5,38.0,25774,2831,9463,12605,5558,795,24034,424,725,58.5,452,34,17716,98632,55661,1973,497,141,479,479,20775,18220,87.7,1314
Nîmes,33,44.4,38.0,21292,2708,8390,9456,4767,681,19294,364,644,56.5,397,25,12814,66048,36840,1182,329,111,463,463,15872,12874,81.1,1087
Paris S-G,33,63.5,38.0,30233,2232,7686,16144,8417,1185,28673,517,903,57.3,559,62,21883,102861,57959,2467,735,216,446,455,25387,23091,91.0,1711
Reims,29,44.8,38.0,21476,2761,8562,9921,4541,634,19720,389,616,63.1,415,14,13814,76196,42847,1518,502,128,485,447,16298,13704,84.1,1091
Rennes,32,59.5,38.0,28083,2102,7674,15095,7016,969,26248,402,675,59.6,441,11,18580,90049,49619,2105,590,150,467,438,22965,20158,87.8,1599
Saint-Étienne,40,48.3,38.0,22484,2293,8111,11044,4815,743,20508,475,849,55.9,526,34,13791,74972,40857,1435,408,105,519,532,16676,13803,82.8,1052
Strasbourg,26,45.6,38.0,21375,2201,7285,10417,5010,783,19538,324,550,58.9,347,16,13247,69358,36498,1308,414,102,507,445,16171,13300,82.2,1156
