Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,28,58.0,38.0,26687,2693,8558,13018,6862,1112,24822,343,573,59.9,377,26,18393,93908,50584,2112,593,204,475,480,21090,18328,86.9,1655
Bournemouth,28,46.8,38.0,22159,2592,8179,9714,5644,948,20260,303,544,55.7,336,25,13359,70193,37926,1406,494,145,490,490,16406,13503,82.3,1383
Brighton,21,42.6,38.0,20225,2558,7762,8741,4818,660,18434,291,504,57.7,332,13,11693,58501,29430,1113,315,92,475,410,14808,11619,78.5,1044
Burnley,23,41.2,38.0,19192,2634,6413,8955,4771,701,17332,224,412,54.4,239,10,10141,50510,24732,978,312,62,489,355,13228,10129,76.6,1013
Cardiff City,25,35.6,38.0,16263,2342,5434,6914,4656,742,14473,282,509,55.4,308,17,8086,39861,20257,853,260,100,436,412,10358,7250,70.0,941
Chelsea,24,62.8,38.0,30813,2319,8333,15242,9458,1183,29078,454,693,65.5,486,19,22212,111559,64966,2781,797,253,434,562,25636,22873,89.2,1884
Crystal Palace,26,45.0,38.0,21812,2423,7540,9943,5766,1008,19948,471,764,61.6,505,22,13705,72479,39518,1693,496,202,487,539,15632,12767,81.7,1283
Everton,23,51.5,38.0,23240,2351,7337,10970,6341,938,21257,351,648,54.2,392,22,14198,73940,38152,1540,450,146,596,506,17054,13856,81.2,1430
Fulham,28,48.6,38.0,23981,2780,8079,11942,5322,673,22222,388,624,62.2,422,33,15229,71958,37233,1525,472,113,491,524,18178,15178,83.5,1282
Huddersfield,31,47.0,38.0,22164,2224,7148,10495,5728,686,20279,286,530,54.0,314,17,13101,63911,30838,1225,417,94,449,448,16269,13055,80.2,1179
Leicester City,25,51.1,38.0,23720,2416,7594,11444,6241,879,21846,366,609,60.1,409,39,15192,81169,43865,1754,537,176,497,443,17988,14799,82.3,1390
Liverpool,23,61.7,38.0,29659,2082,7893,15441,8151,1271,27803,389,636,61.2,424,47,20952,96247,52402,2240,648,198,529,513,24381,21154,86.8,1990
Manchester City,21,67.8,38.0,32198,2070,6859,17013,10605,1652,30600,425,711,59.8,463,32,23719,125067,73297,3358,978,315,435,473,27279,24660,90.4,2102
Manchester Utd,28,54.5,38.0,25173,2365,7343,12701,6643,1006,23300,333,583,57.1,359,17,16672,81704,44216,1904,551,199,471,462,19726,16840,85.4,1560
Newcastle Utd,24,40.4,38.0,20083,2517,7539,8739,4921,709,18306,292,491,59.5,319,29,11196,55117,29114,1114,377,98,481,462,13839,10827,78.2,1049
Southampton,30,43.9,38.0,20898,2261,6411,9858,5802,785,19119,325,566,57.4,363,26,12077,61797,31996,1395,455,142,474,405,14931,11609,77.8,1209
Tottenham,28,58.9,38.0,27276,2654,8514,13361,7091,1012,25452,385,687,56.0,426,37,18618,88967,47029,1856,571,178,499,464,21721,18757,86.4,1596
Watford,25,47.1,38.0,21653,2391,6904,10109,5757,959,19851,311,557,55.8,344,27,12910,60639,31669,1374,390,165,502,514,15715,12723,81.0,1264
West Ham,26,48.7,38.0,22637,2430,7125,10998,6015,874,20771,398,655,60.8,425,33,14260,77323,40083,1657,521,170,469,483,16968,13960,82.3,1236
Wolves,21,46.9,38.0,22849,2211,7420,11151,5657,807,21099,341,612,55.7,372,17,14305,72264,40946,1661,456,179,471,462,17100,14105,82.5,1279
