Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Atalanta,30,57.8,38.0,26354,2038,7049,12943,8151,1267,24556,411,700,58.7,441,32,18047,97999,51961,2404,758,230,459,464,20463,18078,88.3,1895
Bologna,31,52.9,38.0,22950,2527,7208,10882,6301,885,21038,427,720,59.3,461,22,14610,79802,43660,1819,495,166,465,440,17130,14641,85.5,1607
Brescia,32,40.3,38.0,19038,2730,7376,8127,4740,734,17022,321,518,62.0,343,15,11119,63989,35282,1229,393,88,417,391,13481,11010,81.7,1401
Cagliari,33,45.5,38.0,21168,2765,7696,9814,5132,655,19296,366,565,64.8,390,12,13348,74646,40284,1483,534,103,414,444,15653,13303,85.0,1322
Fiorentina,33,47.3,38.0,21658,2400,7032,10274,5858,980,19843,471,728,64.7,501,23,14059,77983,45231,1791,571,189,464,464,16134,13792,85.5,1505
Genoa,34,49.5,38.0,22397,2974,8108,10345,5263,761,20471,360,614,58.6,391,23,14378,73150,38349,1361,401,103,426,434,16818,14405,85.7,1388
Hellas Verona,30,49.8,38.0,21768,2510,6782,10800,5593,841,19888,376,619,60.7,404,25,13363,74299,39533,1612,556,124,427,332,16185,13387,82.7,1564
Inter,29,54.2,38.0,24870,2664,7970,11912,6602,1135,23146,332,523,63.5,359,11,16629,87637,49108,1919,519,179,398,370,19767,17321,87.6,1855
Juventus,30,58.3,38.0,27693,2193,6984,14383,8112,999,25951,441,691,63.8,471,20,18744,91814,49930,2179,705,205,421,380,22476,20306,90.3,1753
Lazio,27,50.5,38.0,23466,2634,7645,10923,6707,1057,21853,397,636,62.4,436,23,16152,95272,55033,2106,726,201,429,372,18184,16035,88.2,1675
Lecce,30,44.6,38.0,21339,2985,8159,9452,5169,824,19548,323,510,63.3,348,19,13322,75582,43178,1598,485,150,381,364,15992,13757,86.0,1399
Milan,32,55.1,38.0,25059,2454,7413,12439,6966,1063,23255,456,706,64.6,480,22,16906,89091,48969,2034,663,208,442,444,19639,17281,88.0,1489
Napoli,25,59.5,38.0,28328,2338,7683,14300,8293,1062,26551,393,631,62.3,417,37,20249,103977,59539,2633,780,195,366,345,23536,21244,90.3,1931
Parma,25,43.6,38.0,20215,2935,7596,9062,4847,833,18342,391,660,59.2,420,32,12220,67616,39007,1406,447,184,491,397,14624,12330,84.3,1408
Roma,31,52.9,38.0,23491,2441,7217,11606,6550,1103,21717,429,696,61.6,463,33,15560,96221,53947,2090,715,227,434,360,18375,16108,87.7,1555
Sampdoria,31,42.4,38.0,20183,2404,6584,9410,5493,776,18350,348,569,61.2,364,24,12231,65361,35997,1415,483,110,386,383,14469,12022,83.1,1461
Sassuolo,31,57.8,38.0,26143,2696,8005,13301,6683,945,24343,512,795,64.4,547,36,18371,96599,55554,2097,668,199,401,461,20838,18697,89.7,1442
SPAL,34,46.8,38.0,21116,2805,7533,9814,5111,708,19257,390,601,64.9,411,21,13430,72182,39023,1551,491,124,400,417,15589,13452,86.3,1358
Torino,27,47.5,38.0,21006,2680,7615,9563,5246,830,19100,497,784,63.4,530,15,13064,73308,40198,1595,520,154,462,464,14984,12628,84.3,1266
Udinese,25,44.7,38.0,21292,2655,7759,9826,5128,800,19568,368,612,60.1,397,18,13504,74667,42083,1532,488,157,421,380,15851,13535,85.4,1363
