Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arminia,26,34.0,23,329,100,30.4,9.68,2.94,0.07,0.22,17.7,14,1,2,30.7,29.2,0.09,-7.7,-7.2
Augsburg,25,34.0,35,335,108,32.2,9.85,3.18,0.10,0.31,17.7,11,2,5,36.1,32.3,0.10,-1.1,+0.7
Bayern Munich,29,34.0,98,569,220,38.7,16.74,6.47,0.16,0.40,16.1,9,9,10,75.8,68.2,0.12,+22.2,+20.8
Dortmund,26,34.0,74,489,182,37.2,14.38,5.35,0.15,0.39,16.1,14,3,7,68.6,62.9,0.13,+5.4,+8.1
Eint Frankfurt,25,34.0,63,438,159,36.3,12.88,4.68,0.13,0.35,15.7,11,8,8,56.1,50.0,0.12,+6.9,+5.0
Freiburg,24,34.0,51,386,143,37.0,11.35,4.21,0.12,0.31,16.6,17,6,6,46.2,41.7,0.11,+4.8,+3.3
Hertha BSC,32,34.0,40,382,144,37.7,11.24,4.24,0.09,0.25,17.2,12,4,6,42.4,37.9,0.10,-2.4,-1.9
Hoffenheim,30,34.0,51,421,150,35.6,12.38,4.41,0.11,0.31,16.8,20,5,6,51.8,47.3,0.11,-0.8,-1.3
Köln,28,34.0,33,353,103,29.2,10.38,3.03,0.08,0.28,16.5,9,4,6,39.1,34.7,0.10,-6.1,-5.7
Leverkusen,30,34.0,52,447,169,37.8,13.15,4.97,0.11,0.29,17.5,12,3,3,47.2,45.0,0.10,+4.8,+4.0
M'Gladbach,23,34.0,63,441,163,37.0,12.97,4.79,0.12,0.33,16.6,10,10,11,55.2,47.0,0.11,+7.8,+6.0
Mainz 05,31,34.0,39,374,132,35.3,11.00,3.88,0.09,0.26,16.9,10,5,5,47.1,43.4,0.12,-8.1,-9.4
RB Leipzig,25,34.0,59,532,189,35.5,15.65,5.56,0.10,0.27,16.5,18,8,10,65.3,58.0,0.11,-6.3,-7.0
Schalke 04,42,34.0,24,306,83,27.1,9.00,2.44,0.08,0.29,17.3,11,0,3,27.0,24.5,0.08,-3.0,-0.5
Stuttgart,29,34.0,54,450,153,34.0,13.24,4.50,0.11,0.31,16.8,12,6,8,53.2,47.1,0.11,+0.8,+0.9
Union Berlin,27,34.0,50,388,134,34.5,11.41,3.94,0.12,0.34,16.7,8,5,7,45.8,40.4,0.11,+4.2,+4.6
Werder Bremen,27,34.0,35,362,119,32.9,10.65,3.50,0.08,0.25,18.0,14,5,5,33.8,30.0,0.09,+1.2,0.0
Wolfsburg,26,34.0,57,475,162,34.1,13.97,4.76,0.12,0.34,17.3,14,2,3,49.5,47.4,0.10,+7.5,+7.6
