Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,30,38.0,35,337,99,29.4,8.87,2.61,0.09,0.30,16.9,11,5,8,42.4,36.5,0.11,-7.4,-6.5
Athletic Club,27,38.0,43,404,133,32.9,10.63,3.50,0.10,0.29,17.1,15,4,5,44.4,40.7,0.10,-1.4,-1.7
Atlético Madrid,25,38.0,65,452,179,39.6,11.89,4.71,0.13,0.34,17.3,13,5,7,52.4,46.8,0.10,+12.6,+13.2
Barcelona,25,38.0,80,573,228,39.8,15.08,6.00,0.13,0.33,16.6,43,4,8,78.9,72.6,0.13,+1.1,+3.4
Betis,25,38.0,50,437,144,33.0,11.50,3.79,0.10,0.29,18.3,16,8,11,46.0,37.8,0.09,+4.0,+4.2
Cádiz,34,38.0,33,301,97,32.2,7.92,2.55,0.10,0.30,16.9,13,4,4,34.0,31.0,0.11,-1.0,-2.0
Celta Vigo,30,38.0,55,349,137,39.3,9.18,3.61,0.14,0.35,16.6,12,7,7,47.7,42.4,0.12,+7.3,+5.6
Eibar,30,38.0,29,443,130,29.3,11.66,3.42,0.06,0.19,17.7,14,4,9,41.5,34.7,0.08,-12.5,-9.7
Elche,30,38.0,33,266,87,32.7,7.00,2.29,0.12,0.36,16.0,12,2,3,30.5,28.2,0.11,+2.5,+2.8
Getafe,31,38.0,27,353,101,28.6,9.29,2.66,0.07,0.24,18.2,24,3,5,32.7,28.9,0.08,-5.7,-4.9
Granada,34,38.0,46,357,123,34.5,9.39,3.24,0.12,0.35,18.7,21,3,5,39.5,35.9,0.10,+6.5,+7.1
Huesca,27,38.0,32,402,130,32.3,10.58,3.42,0.07,0.22,17.8,14,3,4,35.3,32.5,0.08,-3.3,-3.5
Levante,29,38.0,45,381,125,32.8,10.03,3.29,0.11,0.34,17.6,9,3,6,41.0,36.4,0.10,+4.0,+5.6
Osasuna,28,38.0,36,372,117,31.5,9.79,3.08,0.08,0.26,18.1,7,5,6,37.6,33.2,0.09,-1.6,-2.2
Real Madrid,30,38.0,64,553,166,30.0,14.55,4.37,0.11,0.37,17.0,17,3,3,61.5,59.2,0.11,+2.5,+1.8
Real Sociedad,30,38.0,58,418,139,33.3,11.00,3.66,0.12,0.35,16.0,20,9,12,60.4,51.6,0.13,-2.4,-2.6
Sevilla,26,38.0,52,452,136,30.1,11.89,3.58,0.10,0.34,16.7,14,6,7,50.9,45.6,0.10,+1.1,+0.4
Valencia,30,38.0,48,381,128,33.6,10.03,3.37,0.10,0.31,19.4,32,8,10,43.9,36.4,0.10,+4.1,+3.6
Valladolid,32,38.0,34,359,110,30.6,9.45,2.89,0.08,0.25,18.0,24,7,8,37.1,31.2,0.09,-3.1,-4.2
Villarreal,29,38.0,57,394,149,37.8,10.37,3.92,0.11,0.30,16.5,13,12,13,58.0,48.3,0.12,-1.0,-3.3
