Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Amiens,30,38.0,36,372,110,29.6,9.79,2.89,0.09,0.30,19.3,13,3,4,35.3,32.2,0.09,+0.7,+0.8
Angers,27,38.0,41,467,155,33.2,12.29,4.08,0.08,0.24,18.2,19,4,4,45.6,42.6,0.09,-4.6,-5.6
Bordeaux,31,38.0,52,492,157,31.9,12.95,4.13,0.10,0.31,18.2,23,4,6,52.6,47.9,0.10,-0.6,+0.1
Caen,26,38.0,25,474,125,26.4,12.47,3.29,0.04,0.16,19.3,12,5,8,42.2,36.2,0.08,-17.2,-16.2
Dijon,26,38.0,52,455,166,36.5,11.97,4.37,0.10,0.28,18.5,26,5,5,42.9,39.2,0.09,+9.1,+7.8
Guingamp,23,38.0,46,462,162,35.1,12.16,4.26,0.09,0.25,18.0,34,6,7,45.6,40.5,0.09,+0.4,-0.5
Lille,25,38.0,41,441,144,32.7,11.61,3.79,0.09,0.27,19.9,22,2,2,37.7,36.2,0.08,+3.3,+2.8
Lyon,26,38.0,85,602,229,38.0,15.84,6.03,0.13,0.34,17.9,54,6,7,67.0,61.9,0.10,+18.0,+17.1
Marseille,26,38.0,79,629,222,35.3,16.55,5.84,0.12,0.33,16.9,23,5,8,72.1,66.1,0.11,+6.9,+7.9
Metz,36,38.0,33,448,167,37.3,11.79,4.39,0.07,0.18,18.6,16,3,4,37.9,35.0,0.08,-4.9,-5.0
Monaco,32,38.0,83,496,174,35.1,13.05,4.58,0.15,0.44,17.0,31,7,8,61.5,55.6,0.12,+21.5,+20.4
Montpellier,23,38.0,36,501,159,31.7,13.18,4.18,0.07,0.23,19.3,25,0,2,42.4,40.8,0.08,-6.4,-4.8
Nantes,30,38.0,36,522,140,26.8,13.74,3.68,0.06,0.23,18.6,35,4,5,43.3,39.5,0.08,-7.3,-7.5
Nice,31,38.0,52,491,175,35.6,12.92,4.61,0.09,0.25,18.6,32,8,10,51.7,44.3,0.09,+0.3,-0.3
Paris S-G,28,38.0,100,637,249,39.1,16.76,6.55,0.15,0.37,16.4,37,7,9,89.2,82.7,0.13,+10.8,+10.3
Rennes,28,38.0,48,474,146,30.8,12.47,3.84,0.09,0.29,18.8,30,6,8,49.4,43.5,0.09,-1.4,-1.5
Saint-Étienne,30,38.0,45,443,147,33.2,11.66,3.87,0.09,0.26,17.5,19,7,11,52.0,44.1,0.10,-7.0,-6.1
Strasbourg,25,38.0,44,464,127,27.4,12.21,3.34,0.08,0.29,18.0,22,7,7,45.4,40.1,0.09,-1.4,-3.1
Toulouse,25,38.0,36,437,140,32.0,11.50,3.68,0.06,0.20,18.0,24,8,11,46.0,37.8,0.09,-10.0,-9.8
Troyes,25,38.0,30,365,124,34.0,9.61,3.26,0.08,0.23,17.7,16,2,3,36.9,34.6,0.10,-6.9,-6.6
