Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,30,38.0,89,614,225,36.6,16.16,5.92,0.14,0.37,16.0,26,6,7,77.2,72.0,0.12,+11.8,+11.0
Benevento,29,38.0,40,411,130,31.6,10.82,3.42,0.09,0.27,16.9,15,5,7,41.6,36.2,0.09,-1.6,-1.2
Bologna,37,38.0,49,496,177,35.7,13.05,4.66,0.09,0.26,17.7,24,3,4,53.4,50.5,0.11,-4.4,-4.5
Cagliari,32,38.0,43,431,123,28.5,11.34,3.24,0.09,0.32,16.4,13,4,5,45.5,41.8,0.10,-2.5,-2.8
Crotone,31,38.0,44,354,111,31.4,9.32,2.92,0.10,0.32,18.2,16,9,9,38.5,31.8,0.09,+5.5,+3.2
Fiorentina,30,38.0,44,368,119,32.3,9.68,3.13,0.10,0.32,16.0,14,6,6,45.2,40.7,0.11,-1.2,-2.7
Genoa,34,38.0,46,344,122,35.5,9.05,3.21,0.12,0.34,17.5,10,4,4,37.8,34.8,0.10,+8.2,+7.2
Hellas Verona,32,38.0,38,396,120,30.3,10.42,3.16,0.09,0.29,15.7,13,3,3,43.5,41.3,0.11,-5.5,-6.3
Inter,25,38.0,84,543,197,36.3,14.29,5.18,0.14,0.39,15.5,17,8,9,74.8,68.0,0.13,+9.2,+8.0
Juventus,30,38.0,76,587,204,34.8,15.45,5.37,0.12,0.33,16.1,23,8,10,74.2,66.7,0.12,+1.8,+1.3
Lazio,30,38.0,59,519,174,33.5,13.66,4.58,0.10,0.30,16.5,14,6,10,59.8,52.4,0.10,-0.8,+0.6
Milan,29,38.0,72,538,186,34.6,14.16,4.89,0.11,0.31,17.7,29,15,20,71.2,56.6,0.11,+0.8,+0.4
Napoli,25,38.0,83,640,220,34.4,16.84,5.79,0.12,0.35,17.4,25,7,8,67.7,61.5,0.10,+15.3,+14.5
Parma,42,38.0,39,397,121,30.5,10.45,3.18,0.09,0.28,17.3,20,5,5,40.0,36.2,0.09,-1.0,-2.2
Roma,31,38.0,67,539,192,35.6,14.18,5.05,0.11,0.31,16.2,14,7,8,68.9,62.9,0.12,-1.9,-2.9
Sampdoria,27,38.0,52,422,137,32.5,11.11,3.61,0.11,0.34,17.0,11,5,6,46.2,41.7,0.10,+5.8,+5.3
Sassuolo,28,38.0,61,517,166,32.1,13.61,4.37,0.09,0.29,17.8,25,13,14,59.2,48.8,0.10,+1.8,-0.8
Spezia,35,38.0,52,382,130,34.0,10.05,3.42,0.13,0.37,16.2,10,4,5,46.7,42.9,0.12,+5.3,+5.1
Torino,29,38.0,49,455,144,31.6,11.97,3.79,0.10,0.31,16.7,38,5,6,50.2,45.5,0.10,-1.2,-1.5
Udinese,33,38.0,40,409,125,30.6,10.76,3.29,0.09,0.29,17.3,13,4,4,42.9,40.1,0.10,-2.9,-4.1
