Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Augsburg,30,26.5,46.6,34,374,3060,34.0,50,33,45,5,5,55,1,1.47,0.97,2.44,1.32,2.29,43.3,39.6,28.8,68.3,1.27,0.85,2.12,1.16,2.01
Bayern Munich,24,27.4,65.5,34,374,3060,34.0,86,62,83,3,4,42,2,2.53,1.82,4.35,2.44,4.26,80.8,77.8,59.9,137.6,2.38,1.76,4.14,2.29,4.05
Dortmund,23,24.8,58.0,34,374,3060,34.0,80,60,76,4,4,40,3,2.35,1.76,4.12,2.24,4.00,58.4,55.4,42.3,97.8,1.72,1.24,2.96,1.63,2.88
Düsseldorf,24,26.9,43.1,34,374,3060,34.0,48,35,43,5,7,67,1,1.41,1.03,2.44,1.26,2.29,46.7,41.4,34.0,75.4,1.37,1.00,2.37,1.22,2.22
Eint Frankfurt,30,26.4,47.3,34,374,3060,34.0,60,42,56,4,4,58,3,1.76,1.24,3.00,1.65,2.88,55.4,52.4,38.4,90.8,1.63,1.13,2.76,1.54,2.67
Freiburg,28,25.8,44.2,34,374,3060,34.0,44,25,39,5,6,54,3,1.29,0.74,2.03,1.15,1.88,42.2,37.6,25.9,63.5,1.24,0.76,2.00,1.11,1.87
Hannover 96,32,26.3,46.3,34,374,3060,34.0,30,20,27,3,3,61,4,0.88,0.59,1.47,0.79,1.38,33.7,31.4,23.6,55.0,0.99,0.69,1.69,0.92,1.62
Hertha BSC,26,25.9,48.1,34,374,3060,34.0,49,32,45,4,4,64,5,1.44,0.94,2.38,1.32,2.26,47.9,44.9,34.3,79.3,1.41,1.01,2.42,1.32,2.33
Hoffenheim,29,25.5,53.6,34,374,3060,34.0,69,49,63,6,7,67,2,2.03,1.44,3.47,1.85,3.29,73.1,68.0,49.5,117.5,2.15,1.46,3.61,2.00,3.46
Leverkusen,21,25.3,59.9,34,374,3060,34.0,68,51,64,4,5,50,1,2.00,1.50,3.50,1.88,3.38,62.1,58.4,42.6,100.9,1.83,1.25,3.08,1.72,2.97
M'Gladbach,22,26.5,53.1,34,374,3060,34.0,53,43,49,4,7,43,0,1.56,1.26,2.82,1.44,2.71,51.1,45.8,34.7,80.4,1.50,1.02,2.52,1.35,2.37
Mainz 05,28,24.2,46.1,34,374,3060,34.0,44,30,41,3,3,56,0,1.29,0.88,2.18,1.21,2.09,48.5,46.3,32.8,79.0,1.43,0.96,2.39,1.36,2.32
Nürnberg,27,24.9,42.3,34,374,3060,34.0,25,16,23,2,6,58,4,0.74,0.47,1.21,0.68,1.15,33.0,28.5,18.7,47.2,0.97,0.55,1.52,0.84,1.39
RB Leipzig,23,24.0,49.3,34,374,3060,34.0,63,41,58,5,7,61,1,1.85,1.21,3.06,1.71,2.91,60.8,55.5,41.6,97.1,1.79,1.22,3.01,1.63,2.85
Schalke 04,32,25.8,45.4,34,374,3060,34.0,37,23,30,7,9,72,5,1.09,0.68,1.76,0.88,1.56,43.1,36.3,25.8,62.1,1.27,0.76,2.03,1.07,1.83
Stuttgart,26,26.3,45.9,34,374,3060,34.0,32,26,31,1,1,64,5,0.94,0.76,1.71,0.91,1.68,39.0,38.3,28.3,66.6,1.15,0.83,1.98,1.13,1.96
Werder Bremen,24,27.1,52.2,34,374,3060,34.0,57,38,53,4,4,61,3,1.68,1.12,2.79,1.56,2.68,49.5,46.6,33.9,80.5,1.46,1.00,2.45,1.37,2.37
Wolfsburg,25,25.4,53.3,34,374,3060,34.0,59,38,54,5,5,62,0,1.74,1.12,2.85,1.59,2.71,46.2,42.7,31.6,74.3,1.36,0.93,2.29,1.25,2.19
