Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Angers,31,27.9,46.2,38,418,3420,38.0,39,23,34,5,6,65,2,1.03,0.61,1.63,0.89,1.50,41.7,37.2,27.4,64.6,1.10,0.72,1.82,0.98,1.70
Bordeaux,28,27.6,49.7,38,418,3420,38.0,41,32,37,4,4,78,4,1.08,0.84,1.92,0.97,1.82,41.9,38.9,30.2,69.1,1.10,0.80,1.90,1.02,1.82
Brest,26,24.9,49.3,38,418,3420,38.0,47,31,44,3,4,62,4,1.24,0.82,2.05,1.16,1.97,47.5,44.4,33.7,78.2,1.25,0.89,2.14,1.17,2.06
Dijon,33,25.7,46.2,38,418,3420,38.0,25,15,22,3,5,76,5,0.66,0.39,1.05,0.58,0.97,31.5,27.7,20.3,48.0,0.83,0.53,1.36,0.73,1.26
Lens,27,26.4,51.4,38,418,3420,38.0,53,35,43,10,12,94,7,1.39,0.92,2.32,1.13,2.05,56.0,46.9,34.7,81.6,1.47,0.91,2.39,1.23,2.15
Lille,21,25.4,53.9,38,418,3420,38.0,62,39,57,5,5,68,2,1.63,1.03,2.66,1.50,2.53,50.0,46.2,36.1,82.4,1.32,0.95,2.27,1.22,2.17
Lorient,27,26.8,44.6,38,418,3420,38.0,48,26,39,9,10,69,3,1.26,0.68,1.95,1.03,1.71,48.8,41.6,31.2,72.7,1.29,0.82,2.11,1.09,1.91
Lyon,29,25.8,54.9,38,418,3420,38.0,76,46,65,11,11,66,10,2.00,1.21,3.21,1.71,2.92,84.6,76.4,55.0,131.5,2.23,1.45,3.67,2.01,3.46
Marseille,31,27.2,53.9,38,418,3420,38.0,53,45,49,4,7,98,9,1.39,1.18,2.58,1.29,2.47,47.5,42.2,34.5,76.7,1.25,0.91,2.16,1.11,2.02
Metz,27,25.7,45.3,38,418,3420,38.0,42,28,35,7,11,84,4,1.11,0.74,1.84,0.92,1.66,41.3,33.2,25.6,58.8,1.09,0.67,1.76,0.87,1.55
Monaco,30,24.8,56.0,38,418,3420,38.0,76,52,64,12,15,78,7,2.00,1.37,3.37,1.68,3.05,66.9,55.4,44.7,100.1,1.76,1.18,2.94,1.46,2.63
Montpellier,25,28.0,45.3,38,418,3420,38.0,60,42,58,2,5,65,7,1.58,1.11,2.68,1.53,2.63,47.9,44.2,30.7,74.9,1.26,0.81,2.07,1.16,1.97
Nantes,25,25.8,43.7,40,418,3420,38.0,47,28,39,8,9,70,4,1.24,0.74,1.97,1.03,1.76,48.9,42.1,26.7,68.8,1.29,0.70,1.99,1.11,1.81
Nice,31,23.5,54.5,38,418,3420,38.0,49,26,42,7,7,73,4,1.29,0.68,1.97,1.11,1.79,46.9,41.7,26.3,68.1,1.24,0.69,1.93,1.10,1.79
Nîmes,33,25.8,44.4,38,418,3420,38.0,40,26,33,7,8,60,5,1.05,0.68,1.74,0.87,1.55,41.4,35.8,27.3,63.1,1.09,0.72,1.81,0.94,1.66
Paris S-G,33,26.7,63.5,38,418,3420,38.0,85,52,73,12,13,79,7,2.24,1.37,3.61,1.92,3.29,82.4,73.1,54.6,127.7,2.17,1.44,3.61,1.92,3.36
Reims,29,24.6,44.8,38,418,3420,38.0,39,23,34,5,5,77,8,1.03,0.61,1.63,0.89,1.50,33.3,29.7,20.9,50.5,0.88,0.55,1.43,0.78,1.33
Rennes,32,25.5,59.5,38,418,3420,38.0,50,39,47,3,3,79,5,1.32,1.03,2.34,1.24,2.26,50.0,47.7,37.5,85.2,1.31,0.99,2.30,1.25,2.24
Saint-Étienne,40,25.4,48.3,38,418,3420,38.0,40,28,34,6,9,76,2,1.05,0.74,1.79,0.89,1.63,48.2,41.4,30.8,72.2,1.27,0.81,2.08,1.09,1.90
Strasbourg,26,26.8,45.6,38,418,3420,38.0,49,26,39,10,12,58,3,1.29,0.68,1.97,1.03,1.71,52.6,43.2,30.0,73.2,1.38,0.79,2.17,1.14,1.93
