Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,28,26.7,58.0,38,418,3420,38.0,69,52,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,59.1,55.1,45.9,101.0,1.55,1.21,2.76,1.45,2.66
Bournemouth,28,26.6,46.8,38,418,3420,38.0,55,43,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,54.4,47.6,38.5,86.0,1.43,1.01,2.44,1.25,2.26
Brighton,21,27.4,42.6,38,418,3420,38.0,35,24,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,34.5,29.9,23.4,53.3,0.91,0.62,1.52,0.79,1.40
Burnley,23,28.0,41.2,38,418,3420,38.0,43,32,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,41.1,39.6,25.5,65.1,1.08,0.67,1.75,1.04,1.71
Cardiff City,25,27.7,35.6,38,418,3420,38.0,33,20,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,39.5,36.5,23.0,59.5,1.04,0.61,1.65,0.96,1.57
Chelsea,24,27.3,62.8,38,418,3420,38.0,61,52,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,59.3,55.5,45.2,100.7,1.56,1.19,2.75,1.46,2.65
Crystal Palace,26,27.4,45.0,38,418,3420,38.0,48,33,38,10,11,58,2,1.26,0.87,2.13,1.00,1.87,50.7,42.6,30.7,73.3,1.34,0.81,2.14,1.12,1.93
Everton,23,25.7,51.5,38,418,3420,38.0,53,34,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,48.2,44.2,31.2,75.4,1.27,0.82,2.09,1.16,1.98
Fulham,28,26.0,48.6,38,418,3420,38.0,33,24,31,2,3,70,2,0.87,0.63,1.50,0.82,1.45,38.8,36.5,28.3,64.8,1.02,0.74,1.76,0.96,1.70
Huddersfield,31,26.2,47.0,38,418,3420,38.0,20,13,19,1,1,56,4,0.53,0.34,0.87,0.50,0.84,28.9,28.1,20.4,48.5,0.76,0.54,1.30,0.74,1.28
Leicester City,25,25.9,51.1,38,418,3420,38.0,48,34,43,5,7,60,5,1.26,0.89,2.16,1.13,2.03,49.6,44.4,35.4,79.9,1.31,0.93,2.24,1.17,2.10
Liverpool,23,26.1,61.7,38,418,3420,38.0,86,55,79,7,7,39,2,2.26,1.45,3.71,2.08,3.53,75.3,70.0,49.7,119.6,1.98,1.31,3.29,1.84,3.15
Manchester City,21,26.7,67.8,38,418,3420,38.0,91,71,88,3,4,44,1,2.39,1.87,4.26,2.32,4.18,84.5,81.4,64.0,145.4,2.22,1.68,3.91,2.14,3.83
Manchester Utd,28,26.3,54.5,38,418,3420,38.0,65,40,56,9,12,75,4,1.71,1.05,2.76,1.47,2.53,58.4,49.2,37.6,86.8,1.54,0.99,2.53,1.30,2.28
Newcastle Utd,24,26.9,40.4,38,418,3420,38.0,41,33,40,1,3,57,2,1.08,0.87,1.95,1.05,1.92,39.1,36.8,26.7,63.5,1.03,0.70,1.73,0.97,1.67
Southampton,30,25.4,43.9,38,418,3420,38.0,44,27,40,4,5,73,3,1.16,0.71,1.87,1.05,1.76,47.2,43.7,28.4,72.0,1.24,0.75,1.99,1.15,1.90
Tottenham,28,26.8,58.9,38,418,3420,38.0,66,47,62,4,4,57,3,1.74,1.24,2.97,1.63,2.87,58.3,55.3,38.1,93.4,1.53,1.00,2.54,1.45,2.46
Watford,25,28.5,47.1,38,418,3420,38.0,51,39,50,1,1,79,4,1.34,1.03,2.37,1.32,2.34,47.6,46.8,33.9,80.7,1.25,0.89,2.14,1.23,2.12
West Ham,26,27.6,48.7,38,418,3420,38.0,51,33,46,5,5,59,1,1.34,0.87,2.21,1.21,2.08,46.9,43.2,31.2,74.4,1.23,0.82,2.06,1.14,1.96
Wolves,21,26.1,46.9,38,418,3420,38.0,46,35,42,4,4,73,1,1.21,0.92,2.13,1.11,2.03,48.7,45.7,34.2,79.9,1.28,0.90,2.18,1.20,2.10
