Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Atalanta,27,26.5,57.8,38,418,3420,38.0,75,60,73,2,4,62,3,1.97,1.58,3.55,1.92,3.50,66.9,63.9,50.2,114.0,1.76,1.32,3.08,1.68,3.00
Bologna,29,27.0,44.7,38,418,3420,38.0,45,35,40,5,5,91,6,1.18,0.92,2.11,1.05,1.97,47.4,43.6,30.8,74.4,1.25,0.81,2.06,1.15,1.96
Cagliari,30,27.9,50.0,38,418,3420,38.0,36,27,34,2,3,94,9,0.95,0.71,1.66,0.89,1.61,39.1,36.9,27.5,64.3,1.03,0.72,1.75,0.97,1.69
Chievo,36,28.3,43.1,38,418,3420,38.0,25,17,21,4,6,110,7,0.66,0.45,1.11,0.55,1.00,35.6,31.3,22.8,54.1,0.94,0.60,1.54,0.82,1.42
Empoli,29,26.4,47.9,38,418,3420,38.0,48,36,44,4,7,73,3,1.26,0.95,2.21,1.16,2.11,52.0,46.7,34.0,80.6,1.37,0.89,2.26,1.23,2.12
Fiorentina,27,24.1,50.7,38,418,3420,38.0,45,24,40,5,6,89,5,1.18,0.63,1.82,1.05,1.68,52.4,47.9,33.8,81.7,1.38,0.89,2.27,1.26,2.15
Frosinone,33,26.4,41.1,38,418,3420,38.0,28,21,24,4,5,99,2,0.74,0.55,1.29,0.63,1.18,35.5,31.7,24.7,56.4,0.93,0.65,1.58,0.84,1.49
Genoa,31,26.0,43.1,38,418,3420,38.0,37,26,33,4,5,95,7,0.97,0.68,1.66,0.87,1.55,43.6,39.8,27.1,66.9,1.15,0.71,1.86,1.05,1.76
Inter,23,27.7,59.6,38,418,3420,38.0,57,36,49,8,9,73,3,1.50,0.95,2.45,1.29,2.24,64.1,57.2,44.1,101.3,1.69,1.16,2.85,1.51,2.67
Juventus,31,28.0,56.2,38,418,3420,38.0,66,44,59,7,8,76,4,1.74,1.16,2.89,1.55,2.71,58.2,52.1,37.0,89.1,1.53,0.97,2.50,1.37,2.35
Lazio,30,27.9,50.8,38,418,3420,38.0,54,35,48,6,6,89,4,1.42,0.92,2.34,1.26,2.18,56.4,52.0,38.9,90.9,1.49,1.02,2.51,1.37,2.39
Milan,23,24.8,54.2,38,418,3420,38.0,52,35,49,3,4,80,5,1.37,0.92,2.29,1.29,2.21,48.1,45.0,34.3,79.3,1.26,0.90,2.17,1.18,2.09
Napoli,26,27.0,59.4,38,418,3420,38.0,73,54,70,3,4,72,5,1.92,1.42,3.34,1.84,3.26,68.1,65.4,53.8,119.2,1.79,1.42,3.21,1.72,3.14
Parma,31,29.4,37.3,38,418,3420,38.0,40,22,36,4,5,82,3,1.05,0.58,1.63,0.95,1.53,38.6,34.8,22.6,57.3,1.02,0.59,1.61,0.92,1.51
Roma,26,27.5,51.7,38,418,3420,38.0,66,41,60,6,6,88,2,1.74,1.08,2.82,1.58,2.66,64.3,59.8,43.5,103.2,1.69,1.14,2.84,1.57,2.72
Sampdoria,24,26.1,55.3,38,418,3420,38.0,60,41,50,10,12,89,3,1.58,1.08,2.66,1.32,2.39,49.8,40.8,31.9,72.7,1.31,0.84,2.15,1.07,1.91
Sassuolo,29,25.4,54.0,38,418,3420,38.0,50,33,45,5,5,87,8,1.32,0.87,2.18,1.18,2.05,46.4,42.7,31.0,73.7,1.22,0.82,2.04,1.12,1.94
SPAL,28,27.8,50.6,38,418,3420,38.0,44,30,37,7,8,112,3,1.16,0.79,1.95,0.97,1.76,41.5,35.5,23.5,59.0,1.09,0.62,1.71,0.93,1.55
Torino,25,27.6,51.4,38,418,3420,38.0,50,31,45,5,6,88,4,1.32,0.82,2.13,1.18,2.00,49.3,44.8,33.6,78.4,1.30,0.88,2.18,1.18,2.06
Udinese,31,25.3,42.4,38,418,3420,38.0,38,30,35,3,8,90,4,1.00,0.79,1.79,0.92,1.71,41.5,35.2,27.2,62.3,1.09,0.71,1.81,0.93,1.64
